region_type,region,date,statistic,num_people
state,"Arizona, US (State/Province)",2020-02-20,recovered,0
state,"Arizona, US (State/Province)",2020-02-21,active,1
state,"Arizona, US (State/Province)",2020-02-21,confirmed,1
state,"Arizona, US (State/Province)",2020-02-21,deaths,0
state,"Arizona, US (State/Province)",2020-02-21,recovered,0
state,"Arizona, US (State/Province)",2020-02-22,active,1
state,"Arizona, US (State/Province)",2020-02-22,confirmed,1
state,"Arizona, US (State/Province)",2020-02-22,deaths,0
state,"Arizona, US (State/Province)",2020-02-22,recovered,0
state,"Arizona, US (State/Province)",2020-02-23,active,1
state,"Arizona, US (State/Province)",2020-02-23,confirmed,1
state,"Arizona, US (State/Province)",2020-02-23,deaths,0
state,"Arizona, US (State/Province)",2020-02-23,recovered,0
state,"Arizona, US (State/Province)",2020-02-24,active,1
state,"Arizona, US (State/Province)",2020-02-24,confirmed,1
state,"Arizona, US (State/Province)",2020-02-24,deaths,0
state,"Arizona, US (State/Province)",2020-02-24,recovered,0
state,"Arizona, US (State/Province)",2020-02-25,active,0
state,"Arizona, US (State/Province)",2020-02-25,confirmed,1
state,"Arizona, US (State/Province)",2020-02-25,deaths,0
state,"Arizona, US (State/Province)",2020-02-25,recovered,1
state,"Arizona, US (State/Province)",2020-02-26,active,0
state,"Arizona, US (State/Province)",2020-02-26,confirmed,1
state,"Arizona, US (State/Province)",2020-02-26,deaths,0
state,"Arizona, US (State/Province)",2020-02-26,recovered,1
state,"Arizona, US (State/Province)",2020-02-27,active,0
state,"Arizona, US (State/Province)",2020-02-27,confirmed,1
state,"Arizona, US (State/Province)",2020-02-27,deaths,0
state,"Arizona, US (State/Province)",2020-02-27,recovered,1
state,"Arizona, US (State/Province)",2020-02-28,active,0
state,"Arizona, US (State/Province)",2020-02-28,confirmed,1
state,"Arizona, US (State/Province)",2020-02-28,deaths,0
state,"Arizona, US (State/Province)",2020-02-28,recovered,1
state,"Arizona, US (State/Province)",2020-02-29,active,0
state,"Arizona, US (State/Province)",2020-02-29,confirmed,1
state,"Arizona, US (State/Province)",2020-02-29,deaths,0
state,"Arizona, US (State/Province)",2020-02-29,recovered,1
state,"Arizona, US (State/Province)",2020-03-01,active,0
state,"Arizona, US (State/Province)",2020-03-01,confirmed,1
state,"Arizona, US (State/Province)",2020-03-01,deaths,0
state,"Arizona, US (State/Province)",2020-03-01,recovered,1
state,"Arizona, US (State/Province)",2020-03-02,active,0
state,"Arizona, US (State/Province)",2020-03-02,confirmed,1
state,"Arizona, US (State/Province)",2020-03-02,deaths,0
state,"Arizona, US (State/Province)",2020-03-02,recovered,1
state,"Arizona, US (State/Province)",2020-03-03,active,1
state,"Arizona, US (State/Province)",2020-03-03,confirmed,2
state,"Arizona, US (State/Province)",2020-03-03,deaths,0
state,"Arizona, US (State/Province)",2020-03-03,recovered,1
state,"Arizona, US (State/Province)",2020-03-04,active,1
state,"Arizona, US (State/Province)",2020-03-04,confirmed,2
state,"Arizona, US (State/Province)",2020-03-04,deaths,0
state,"Arizona, US (State/Province)",2020-03-04,recovered,1
state,"Arizona, US (State/Province)",2020-03-05,active,1
state,"Arizona, US (State/Province)",2020-03-05,confirmed,2
state,"Arizona, US (State/Province)",2020-03-05,deaths,0
state,"Arizona, US (State/Province)",2020-03-05,recovered,1
state,"Arizona, US (State/Province)",2020-03-06,active,2
state,"Arizona, US (State/Province)",2020-03-06,confirmed,3
state,"Arizona, US (State/Province)",2020-03-06,deaths,0
state,"Arizona, US (State/Province)",2020-03-06,recovered,1
state,"Arizona, US (State/Province)",2020-03-07,active,4
state,"Arizona, US (State/Province)",2020-03-07,confirmed,5
state,"Arizona, US (State/Province)",2020-03-07,deaths,0
state,"Arizona, US (State/Province)",2020-03-07,recovered,1
state,"Arizona, US (State/Province)",2020-03-08,active,4
state,"Arizona, US (State/Province)",2020-03-08,confirmed,5
state,"Arizona, US (State/Province)",2020-03-08,deaths,0
state,"Arizona, US (State/Province)",2020-03-08,recovered,1
state,"Arizona, US (State/Province)",2020-03-09,active,4
state,"Arizona, US (State/Province)",2020-03-09,confirmed,5
state,"Arizona, US (State/Province)",2020-03-09,deaths,0
state,"Arizona, US (State/Province)",2020-03-09,recovered,1
state,"Arizona, US (State/Province)",2020-03-10,active,5
state,"Arizona, US (State/Province)",2020-03-10,confirmed,6
state,"Arizona, US (State/Province)",2020-03-10,deaths,0
state,"Arizona, US (State/Province)",2020-03-10,recovered,1
state,"Arizona, US (State/Province)",2020-03-11,active,8
